Variable 1,Variable 2,Correlation
wage,unemployment,-0.0001277268142220158
taxableinc,hwage,-0.0013528809310376273
taxableinc,age,0.0019401059094199715
lfp,kids618,-0.0024242305078122565
hfathereduc,faminc,-0.002715106535746807
siblings,exper,-0.003027236506467325
siblings,heduc,-0.003207377443311092
taxableinc,unemployment,0.004247599283687998
unemployment,exper,0.004435374308851889
siblings,kids618,0.005022067557702444
hmothereduc,unemployment,0.005028527594627815
hmothereduc,hhours,-0.005609358080814046
lfp,largecity,-0.006167592995724256
hsiblings,lfp,-0.00633609244640626
hsiblings,wage,0.006856580871128778
hsiblings,faminc,0.0073943255921183875
hmothereduc,wage76,0.00899280094704573
kidsl6,unemployment,-0.009050135535109584
siblings,wage,-0.009086990348198536
wage76,unemployment,0.009124191039681128
hfathereduc,exper,0.00936518052056328
kids618,heduc,0.009437445702977052
hsiblings,mothereduc,0.009499398062630036
hours,heduc,-0.009650429875590276
siblings,lfp,0.009787391126978524
federaltax,hwage,-0.009850365775610926
hsiblings,educ,0.010599710434619195
hmothereduc,educ,-0.01063830195844115
hsiblings,mtr,0.011225709388810148
largecity,exper,0.011234409702948636
hmothereduc,hage,0.01145901981979736
siblings,kidsl6,0.011627768438763087
siblings,faminc,-0.011672726152417994
hsiblings,hours,-0.011768221020862512
hfathereduc,age,-0.011953018308003898
hsiblings,wage76,-0.012040805399511788
federaltax,age,0.012207861668090101
siblings,unemployment,-0.012752765451224338
taxableinc,hage,0.012768240385808554
hsiblings,hwage,-0.013530311143628513
hours,fathereduc,0.013670898374980058
hsiblings,kids618,-0.01370714117987145
hfathereduc,kids618,-0.014259690451404041
kids618,unemployment,0.014279274873151336
hmothereduc,heduc,-0.015012914772513888
federaltax,unemployment,-0.01505895062100609
hsiblings,heduc,-0.015464689172981674
federaltax,hage,0.01579123183406847
hours,largecity,-0.016216443989462995
hfathereduc,lfp,-0.016274693903090682
hsiblings,hhours,-0.016339022307614453
hsiblings,unemployment,-0.017000264233497882
mothereduc,unemployment,0.018402166150373312
hfathereduc,hwage,0.018430580369889378
federaltax,exper,-0.018906480858872532
wage76,hwage,0.019276169021882783
kids618,faminc,-0.01951036353149957
hfathereduc,hage,0.01960600271373036
hage,hwage,0.01968090119044706
hmothereduc,kidsl6,-0.020622832399442428
taxableinc,largecity,-0.020969852599689302
hfathereduc,wage,-0.02118094057034214
hfathereduc,wage76,0.021424899731439725
hmothereduc,exper,-0.021552564100378202
hfathereduc,mtr,-0.02200643446132308
hfathereduc,heduc,-0.022178381002107884
hfathereduc,kidsl6,-0.02279617331953356
hmothereduc,age,-0.023756633193080016
kidsl6,hhours,0.024292256523024615
siblings,wage76,0.02447528060107958
hfathereduc,hhours,-0.024614419762851676
taxableinc,kids618,-0.024813406072073642
siblings,educ,0.02577251778935399
siblings,mtr,0.026102845808029174
hmothereduc,wage,-0.026652207061680797
kids618,fathereduc,-0.026830408053565978
age,hwage,0.027014807262573864
taxableinc,fathereduc,-0.027276384311410447
faminc,exper,-0.027702695489384744
kidsl6,faminc,-0.027781251502301756
lfp,unemployment,-0.028734888606530482
hmothereduc,mothereduc,-0.02903249388115171
hmothereduc,lfp,0.029228807128298714
kids618,hwage,-0.029707556904549647
federaltax,hours,-0.030257455225585258
siblings,hage,-0.03032796391302431
hours,hage,-0.031088746976693026
siblings,age,-0.03167551740574099
siblings,fathereduc,0.031791982144558306
wage,hage,-0.03183593167415814
kids618,mothereduc,0.03238278179840305
kidsl6,hwage,0.03238423773614224
mtr,exper,-0.03254126777559813
hours,age,-0.0331141766590973
taxableinc,exper,-0.03331335099690176
hfathereduc,educ,-0.0334083475805021
kids618,largecity,-0.033565401364801364
age,wage,-0.034559144082389325
hmothereduc,fathereduc,-0.035080059163630176
siblings,mothereduc,0.03518275928806116
hsiblings,kidsl6,-0.03540665728499895
hmothereduc,largecity,0.03555511193792613
federaltax,faminc,-0.035597257820025194
federaltax,kids618,-0.0358131957219631
heduc,exper,-0.03630074192272886
taxableinc,mothereduc,-0.03690508440082044
hfathereduc,mothereduc,-0.03696283235254486
taxableinc,wage76,-0.03836895657083482
federaltax,mothereduc,-0.03873735159793794
hfathereduc,largecity,0.03888348425156116
hfathereduc,fathereduc,0.03893880582205489
siblings,hhours,0.039072144995934914
federaltax,heduc,-0.039508264995560996
federaltax,wage76,-0.039995701451589205
hage,faminc,0.040502633685511116
taxableinc,heduc,-0.040901830537938055
siblings,hours,-0.042093185610452485
federaltax,mtr,0.04248825670640978
hsiblings,largecity,-0.04250305631135962
taxableinc,faminc,-0.042586101745034084
kidsl6,largecity,-0.04263126699278717
hage,mtr,-0.044617623790102735
siblings,hwage,-0.04508042669120409
federaltax,largecity,-0.045245587628487266
federaltax,fathereduc,-0.04545829657892031
lfp,heduc,0.04591422231981506
hsiblings,age,0.04678024235523365
hsiblings,hage,0.04695362874826157
kids618,wage,-0.04734859839846098
hfathereduc,unemployment,-0.04807250675320503
taxableinc,mtr,0.04869605761224111
federaltax,hhours,-0.04980635929932219
hmothereduc,kids618,-0.04993338532832687
hhours,fathereduc,0.050345418812691535
hsiblings,fathereduc,-0.05058910222025459
